ID,algorithm_name
12026,dynamic_programming_1
12026,dynamic_programming_1
12101,dynamic_programming_1
12101,dynamic_programming_1
16194,dynamic_programming_1
16194,dynamic_programming_1
2011,dynamic_programming_1
2011,dynamic_programming_1
13910,dynamic_programming_1
13910,dynamic_programming_1
1660,dynamic_programming_1
1660,dynamic_programming_1
2565,dynamic_programming_1
2565,dynamic_programming_1
15989,dynamic_programming_1
15989,dynamic_programming_1
14852,dynamic_programming_1
14852,dynamic_programming_1
14722,dynamic_programming_1
14722,dynamic_programming_1
1633,dynamic_programming_1
1633,dynamic_programming_1
1197,minimum_spanning_tree
1197,minimum_spanning_tree
21924,minimum_spanning_tree
21924,minimum_spanning_tree
16398,minimum_spanning_tree
16398,minimum_spanning_tree
1647,minimum_spanning_tree
1647,minimum_spanning_tree
1922,minimum_spanning_tree
1922,minimum_spanning_tree
1774,minimum_spanning_tree
1774,minimum_spanning_tree
14621,minimum_spanning_tree
14621,minimum_spanning_tree
1368,minimum_spanning_tree
1368,minimum_spanning_tree
17490,minimum_spanning_tree
17490,minimum_spanning_tree
13905,minimum_spanning_tree
13905,minimum_spanning_tree
6497,minimum_spanning_tree
6497,minimum_spanning_tree
18769,minimum_spanning_tree
18769,minimum_spanning_tree
14950,minimum_spanning_tree
14950,minimum_spanning_tree
13418,minimum_spanning_tree
13418,minimum_spanning_tree
2406,minimum_spanning_tree
2406,minimum_spanning_tree
1414,minimum_spanning_tree
1414,minimum_spanning_tree
4386,minimum_spanning_tree
4386,minimum_spanning_tree
16202,minimum_spanning_tree
16202,minimum_spanning_tree
10423,minimum_spanning_tree
10423,minimum_spanning_tree
20010,minimum_spanning_tree
20010,minimum_spanning_tree
1944,minimum_spanning_tree
1944,minimum_spanning_tree
1045,minimum_spanning_tree
1045,minimum_spanning_tree
17472,minimum_spanning_tree
17472,minimum_spanning_tree
2887,minimum_spanning_tree
2887,minimum_spanning_tree
18222,divide_and_conquer
18222,divide_and_conquer
2630,divide_and_conquer
2630,divide_and_conquer
17829,divide_and_conquer
17829,divide_and_conquer
1992,divide_and_conquer
1992,divide_and_conquer
1074,divide_and_conquer
1074,divide_and_conquer
2447,divide_and_conquer
2447,divide_and_conquer
2448,divide_and_conquer
2448,divide_and_conquer
4256,divide_and_conquer
4256,divide_and_conquer
4779,divide_and_conquer
4779,divide_and_conquer
1780,divide_and_conquer
1780,divide_and_conquer
1802,divide_and_conquer
1802,divide_and_conquer
14600,divide_and_conquer
14600,divide_and_conquer
5904,divide_and_conquer
5904,divide_and_conquer
2374,divide_and_conquer
2374,divide_and_conquer
1030,divide_and_conquer
1030,divide_and_conquer
16438,divide_and_conquer
16438,divide_and_conquer
1493,divide_and_conquer
1493,divide_and_conquer
14601,divide_and_conquer
14601,divide_and_conquer
18312,brute_force
18312,brute_force
22864,brute_force
22864,brute_force
2231,brute_force
2231,brute_force
2798,brute_force
2798,brute_force
19532,brute_force
19532,brute_force
18511,brute_force
18511,brute_force
15721,brute_force
15721,brute_force
2422,brute_force
2422,brute_force
1969,brute_force
1969,brute_force
5568,brute_force
5568,brute_force
16439,brute_force
16439,brute_force
16937,brute_force
16937,brute_force
16508,brute_force
16508,brute_force
17626,brute_force
17626,brute_force
2503,brute_force
2503,brute_force
14501,brute_force
14501,brute_force
14620,brute_force
14620,brute_force
2961,brute_force
2961,brute_force
9079,brute_force
9079,brute_force
2615,brute_force
2615,brute_force
12919,brute_force
12919,brute_force
1025,brute_force
1025,brute_force
1548,brute_force
1548,brute_force
15661,brute_force
15661,brute_force
21315,brute_force
21315,brute_force
15686,brute_force
15686,brute_force
21278,brute_force
21278,brute_force
14500,brute_force
14500,brute_force
22944,brute_force
22944,brute_force
16637,brute_force
16637,brute_force
14391,brute_force
14391,brute_force
18808,brute_force
18808,brute_force
21943,brute_force
21943,brute_force
4690,brute_force
4690,brute_force
9094,brute_force
9094,brute_force
14697,brute_force
14697,brute_force
1668,brute_force
1668,brute_force
13410,brute_force
13410,brute_force
3040,brute_force
3040,brute_force
2309,brute_force
2309,brute_force
18512,brute_force
18512,brute_force
2435,brute_force
2435,brute_force
2160,brute_force
2160,brute_force
10448,brute_force
10448,brute_force
18868,brute_force
18868,brute_force
1145,brute_force
1145,brute_force
11170,brute_force
11170,brute_force
19947,brute_force
19947,brute_force
2635,brute_force
2635,brute_force
15779,brute_force
15779,brute_force
1543,brute_force
1543,brute_force
1251,brute_force
1251,brute_force
7568,brute_force
7568,brute_force
5671,brute_force
5671,brute_force
1436,brute_force
1436,brute_force
14912,brute_force
14912,brute_force
1059,brute_force
1059,brute_force
16951,brute_force
16951,brute_force
5883,brute_force
5883,brute_force
17521,brute_force
17521,brute_force
1487,brute_force
1487,brute_force
1359,brute_force
1359,brute_force
1018,brute_force
1018,brute_force
15970,brute_force
15970,brute_force
1065,brute_force
1065,brute_force
4096,brute_force
4096,brute_force
1120,brute_force
1120,brute_force
11502,brute_force
11502,brute_force
1895,brute_force
1895,brute_force
9996,brute_force
9996,brute_force
15728,brute_force
15728,brute_force
17484,brute_force
17484,brute_force
1503,brute_force
1503,brute_force
3085,brute_force
3085,brute_force
2304,brute_force
2304,brute_force
1254,brute_force
1254,brute_force
1411,brute_force
1411,brute_force
19949,brute_force
19949,brute_force
1421,brute_force
1421,brute_force
15270,brute_force
15270,brute_force
1747,brute_force
1747,brute_force
17610,brute_force
17610,brute_force
1527,brute_force
1527,brute_force
14225,brute_force
14225,brute_force
16943,brute_force
16943,brute_force
1107,brute_force
1107,brute_force
1711,brute_force
1711,brute_force
10472,brute_force
10472,brute_force
1581,brute_force
1581,brute_force
17085,brute_force
17085,brute_force
1034,brute_force
1034,brute_force
17471,brute_force
17471,brute_force
22947,brute_force
22947,brute_force
16986,brute_force
16986,brute_force
1789,binary_search
1789,binary_search
10815,binary_search
10815,binary_search
2417,binary_search
2417,binary_search
19637,binary_search
19637,binary_search
11663,binary_search
11663,binary_search
1654,binary_search
1654,binary_search
2805,binary_search
2805,binary_search
2512,binary_search
2512,binary_search
22871,binary_search
22871,binary_search
3079,binary_search
3079,binary_search
2470,binary_search
2470,binary_search
20444,binary_search
20444,binary_search
2412,binary_search
2412,binary_search
1477,binary_search
1477,binary_search
2110,binary_search
2110,binary_search
13397,binary_search
13397,binary_search
1939,binary_search
1939,binary_search
2473,binary_search
2473,binary_search
7453,binary_search
7453,binary_search
1300,binary_search
1300,binary_search
1920,binary_search
1920,binary_search
2776,binary_search
2776,binary_search
20551,binary_search
20551,binary_search
10816,binary_search
10816,binary_search
17266,binary_search
